domain,job_role,total_candidates,avg_match_rate_pct,skills_demanded,skills_supplied,top_skill
Business & Marketing,Business Development Executive,339,0.0,2,2997,fast typing skill
Business & Marketing,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",339,0.1,6,2997,brand promotion
Business & Marketing,Marketing Officer,339,0.6,9,2997,corporate marketing
Civil & Mechanical Engineering,Civil Engineer,340,1.8,4,3005,autocad
Civil & Mechanical Engineering,Management Trainee - Mechanical,339,0.1,4,2997,computer skill
Civil & Mechanical Engineering,Mechanical Designer,339,3.5,2,2997,autocad
Civil & Mechanical Engineering,Mechanical Engineer,339,1.6,2,2997,maintenance  and troubleshooting
Civil & Mechanical Engineering,Project Coordinator (Civil),340,0.1,4,3005,auto cad 2d 3d
Civil & Mechanical Engineering,Site Engineer,340,2.6,4,3005,autocad
Data & AI,AI Engineer,339,9.4,5,3003,python
Data & AI,Data Engineer,338,5.2,6,2996,azure
Data & AI,Data Science Engineer,338,3.8,6,2994,business analysis
Finance & Audit,Executive - VAT,339,0.0,1,2997,vat and tax
Finance & Audit,Head of Internal Control & Compliance (ICC) - SEVP/DMD,339,1.0,3,2997,audit and inspection
Finance & Audit,Sr.Officer / Executive - Internal Audit,339,0.0,2,2997,having cacc from reputed ca firm
HR & Administration,Asst. Manager/ Manger (Administrative),339,0.0,3,2999,•administration
HR & Administration,HR Officer,340,0.3,1,3005,human resource management
HR & Administration,Manager- Human Resource Management (HRM),339,0.1,3,2999,hrm report
IT Infrastructure,Database Administrator (DBA),339,0.6,8,2997,asp.net mvc strong understanding of database design
IT Infrastructure,DevOps Engineer,338,1.6,8,2996,ansible
IT Infrastructure,Network Support Engineer,339,0.0,7,2997,ccna (cisco certified network associate)
IT Infrastructure,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",339,2.2,3,2997,cisco
Software Engineering,Senior iOS Engineer,338,0.0,8,2994,ios
