domain,skill,demand_count,supply_count,gap,anomaly_flag
Business & Marketing,campaign management,339,0,339,YES
Business & Marketing,field supervision,339,0,339,YES
Business & Marketing,promotional activities,339,0,339,YES
Business & Marketing,corporate marketing,339,0,339,YES
Business & Marketing,ieltsinternet browsing & online work ability.,339,0,339,YES
Business & Marketing,facebook ads manager,339,0,339,YES
Business & Marketing,google analytics,339,0,339,YES
Business & Marketing,facebook campaign,339,0,339,YES
Business & Marketing,trade marketing,339,0,339,YES
Business & Marketing,market researc,339,0,339,YES
Business & Marketing,brand promotion,339,0,339,YES
Business & Marketing,search engine optimization (seo),339,0,339,YES
Business & Marketing,facebook marketing,339,0,339,YES
Business & Marketing,fast typing skill,339,0,339,YES
Business & Marketing,google ads,339,0,339,YES
Business & Marketing,merchandising,339,6,333,YES
Business & Marketing,marketing,339,51,288,YES
Business & Marketing,brand development,0,3,-3,NO
Business & Marketing,problem resolution,0,3,-3,NO
Business & Marketing,mortgage,0,3,-3,NO
Business & Marketing,3d printing,0,3,-3,NO
Business & Marketing,pentaho,0,3,-3,NO
Business & Marketing,erp (alliance,0,3,-3,NO
Business & Marketing,frontend,0,3,-3,NO
Business & Marketing,product and service sales,0,3,-3,NO
Business & Marketing,worked with management to document and offset unusual expense variances in their respective areas.,0,3,-3,NO
Business & Marketing,wap,0,3,-3,NO
Business & Marketing,workforce management systems,0,3,-3,NO
Business & Marketing,pos systems: micros,0,3,-3,NO
Business & Marketing,host software,0,3,-3,NO
Business & Marketing,microsoft windows 10,0,3,-3,NO
Business & Marketing,ssis,0,3,-3,NO
Business & Marketing,cbmet,0,3,-3,NO
Business & Marketing,coordination,0,3,-3,NO
Business & Marketing,hardware: dell,0,3,-3,NO
Business & Marketing,microsoft (ms) access,0,3,-3,NO
Business & Marketing,rfi,0,3,-3,NO
Business & Marketing,wan,0,3,-3,NO
Business & Marketing,google calendar,0,3,-3,NO
Business & Marketing,lock-out/tag-out,0,3,-3,NO
Business & Marketing,scorecard,0,3,-3,NO
Business & Marketing,patience,0,3,-3,NO
Business & Marketing,5s expert,0,3,-3,NO
Business & Marketing,excellent problem solver,0,3,-3,NO
Business & Marketing,peachtree accounting,0,3,-3,NO
Business & Marketing,develop products in consumer electronics,0,3,-3,NO
Business & Marketing,troubleshooting and problem solving,0,3,-3,NO
Business & Marketing,multidisciplinary exposure,0,3,-3,NO
Business & Marketing,tera term,0,3,-3,NO
Business & Marketing,flexible,0,3,-3,NO
Business & Marketing,customer care and satisfaction,0,3,-3,NO
Business & Marketing,individual tax returns,0,3,-3,NO
Business & Marketing,motivated,0,3,-3,NO
Business & Marketing,vehicle ergonomics,0,3,-3,NO
Business & Marketing,manufacturing process development and improvement,0,3,-3,NO
Business & Marketing,git-lab,0,3,-3,NO
Business & Marketing,preparation of financial reports,0,3,-3,NO
Business & Marketing,xpert,0,3,-3,NO
Business & Marketing,dhcp/dns ethernet and firewall proficient,0,3,-3,NO
Business & Marketing,xp,0,3,-3,NO
Business & Marketing,superior research skills,0,3,-3,NO
Business & Marketing,biotechnology,0,3,-3,NO
Business & Marketing,identifies vendors requiring an irs form 1099 and prepares the form and transmittal,0,3,-3,NO
Business & Marketing,aardwolf,0,3,-3,NO
Business & Marketing,raspberry pi,0,3,-3,NO
Business & Marketing,software systems engineering,0,3,-3,NO
Business & Marketing,detail drawings,0,3,-3,NO
Business & Marketing,iis 5,0,3,-3,NO
Business & Marketing,windows vista,0,3,-3,NO
Business & Marketing,six sigma certified,0,3,-3,NO
Business & Marketing,general ledger proficiency,0,3,-3,NO
Business & Marketing,estimation,0,3,-3,NO
Business & Marketing,laboratory testing,0,3,-3,NO
Business & Marketing,fm,0,3,-3,NO
Business & Marketing,automation tools - design and implement,0,3,-3,NO
Business & Marketing,edit,0,3,-3,NO
Business & Marketing,business process management,0,3,-3,NO
Business & Marketing,windows platforms programming,0,3,-3,NO
Business & Marketing,assist,0,3,-3,NO
Business & Marketing,peoplesoft hrms,0,3,-3,NO
Business & Marketing,sap),0,3,-3,NO
Business & Marketing,algebra,0,3,-3,NO
Business & Marketing,for selling,0,3,-3,NO
Business & Marketing,design for manufacturing,0,3,-3,NO
Business & Marketing,test tools,0,3,-3,NO
Business & Marketing,pl/pgsql,0,3,-3,NO
Business & Marketing,pearl,0,3,-3,NO
Business & Marketing,interpersonal communication skills,0,3,-3,NO
Business & Marketing,user experience,0,3,-3,NO
Business & Marketing,demonstrated organizational/planning skills,0,3,-3,NO
Business & Marketing,software development skills,0,3,-3,NO
Business & Marketing,apple computers,0,3,-3,NO
Business & Marketing,ibm-pc,0,3,-3,NO
Business & Marketing,interpretation,0,3,-3,NO
Business & Marketing,linux programming,0,3,-3,NO
Business & Marketing,test engineer,0,3,-3,NO
Business & Marketing,overall sales,0,3,-3,NO
Business & Marketing,office suite,0,3,-3,NO
Business & Marketing,processing payments,0,3,-3,NO
Business & Marketing,sentiment analysis,0,3,-3,NO
Business & Marketing,installation and configuration of peripherals,0,3,-3,NO
Business & Marketing,ii,0,3,-3,NO
Business & Marketing,oracle database,0,3,-3,NO
Business & Marketing,document control,0,3,-3,NO
Business & Marketing,i-max,0,3,-3,NO
Business & Marketing,chill,0,3,-3,NO
Business & Marketing,a/r,0,3,-3,NO
Business & Marketing,sublime 2,0,3,-3,NO
Business & Marketing,ms office applications,0,3,-3,NO
Business & Marketing,client support,0,3,-3,NO
Business & Marketing,self-starter & self-motivated,0,3,-3,NO
Business & Marketing,white box testing,0,3,-3,NO
Business & Marketing,pillow,0,3,-3,NO
Business & Marketing,catalysis,0,3,-3,NO
Business & Marketing,retention,0,3,-3,NO
Business & Marketing,microsoft rdp,0,3,-3,NO
Business & Marketing,investment research,0,3,-3,NO
Business & Marketing,facilities management,0,3,-3,NO
Business & Marketing,salesforce / crm,0,3,-3,NO
Business & Marketing,3dsmax,0,3,-3,NO
Business & Marketing,mp4,0,3,-3,NO
Business & Marketing,sarbanes oxley,0,3,-3,NO
Business & Marketing,marketing collateral,0,3,-3,NO
Business & Marketing,business to customer,0,3,-3,NO
Business & Marketing,microsoft windows nt server,0,3,-3,NO
Business & Marketing,cics,0,3,-3,NO
Business & Marketing,exceptional telephone etiquette,0,3,-3,NO
Business & Marketing,industrial automation,0,3,-3,NO
Business & Marketing,regression testing,0,3,-3,NO
Business & Marketing,dukpt,0,3,-3,NO
Business & Marketing,windows 95 - xp,0,3,-3,NO
Business & Marketing,exploratory data analysis,0,3,-3,NO
Business & Marketing,layout design,0,3,-3,NO
Business & Marketing,plc 5,0,3,-3,NO
Business & Marketing,differential equations,0,3,-3,NO
Business & Marketing,accounts receivable professional,0,3,-3,NO
Business & Marketing,oss,0,3,-3,NO
Business & Marketing,engineer-in-training,0,3,-3,NO
Business & Marketing,of sales,0,3,-3,NO
Business & Marketing,suspension and alignment,0,3,-3,NO
Business & Marketing,interpersonal communication,0,3,-3,NO
Business & Marketing,profit and loss,0,3,-3,NO
Business & Marketing,jd edwards/as 400,0,3,-3,NO
Business & Marketing,college math,0,3,-3,NO
Business & Marketing,indesign,0,3,-3,NO
Business & Marketing,excellent written,0,3,-3,NO
Business & Marketing,very organized,0,3,-3,NO
Business & Marketing,data preparation,0,3,-3,NO
Business & Marketing,electrical component repair,0,3,-3,NO
Business & Marketing,osha regulations,0,3,-3,NO
Business & Marketing,ios9,0,3,-3,NO
Business & Marketing,laravel,0,3,-3,NO
Business & Marketing,manufacturing,0,3,-3,NO
Business & Marketing,speakers),0,3,-3,NO
Business & Marketing,financial controls,0,3,-3,NO
Business & Marketing,reduce waste,0,3,-3,NO
Business & Marketing,windows 9.x,0,3,-3,NO
Business & Marketing,solomon,0,3,-3,NO
Business & Marketing,help desk support,0,3,-3,NO
Business & Marketing,effective leader,0,3,-3,NO
Business & Marketing,analog and digital circuitry,0,3,-3,NO
Business & Marketing,method development,0,3,-3,NO
Business & Marketing,file maintenance,0,3,-3,NO
Business & Marketing,clarify,0,3,-3,NO
Business & Marketing,powershell,0,3,-3,NO
Business & Marketing,drilling- tapping,0,3,-3,NO
Business & Marketing,vpn/remote connectivity - openvpn,0,3,-3,NO
Business & Marketing,team building & leadership,0,3,-3,NO
Business & Marketing,excellent facilitator,0,3,-3,NO
Business & Marketing,forward-thinking mindset,0,3,-3,NO
Business & Marketing,prolith (modeling),0,3,-3,NO
Business & Marketing,iia,0,3,-3,NO
Business & Marketing,focus integrated erp software for retail garment stores,0,3,-3,NO
Business & Marketing,physics i,0,3,-3,NO
Business & Marketing,re-engineering,0,3,-3,NO
Business & Marketing,organizational and planning skills,0,3,-3,NO
Business & Marketing,solidworks 2005,0,3,-3,NO
Business & Marketing,emv systems : btt (ul),0,3,-3,NO
Business & Marketing,bluehill testing software,0,3,-3,NO
Business & Marketing,market analysis/competitive positioning,0,3,-3,NO
Business & Marketing,data analysis techniques,0,3,-3,NO
Business & Marketing,lotus sametime,0,3,-3,NO
Business & Marketing,voice over ip telephone,0,3,-3,NO
Business & Marketing,data handling,0,3,-3,NO
Business & Marketing,web design technology,0,3,-3,NO
Business & Marketing,lx,0,3,-3,NO
Business & Marketing,energy manager,0,3,-3,NO
Business & Marketing,saas,0,3,-3,NO
Business & Marketing,human resource management,0,3,-3,NO
Business & Marketing,office switchphone,0,3,-3,NO
Business & Marketing,including ordering and canceling cards,0,3,-3,NO
Business & Marketing,windows nt,0,3,-3,NO
Business & Marketing,msra,0,3,-3,NO
Business & Marketing,statistical solutions,0,3,-3,NO
Business & Marketing,featurization,0,3,-3,NO
Business & Marketing,phoenix (e1),0,3,-3,NO
Business & Marketing,verbal communication,0,3,-3,NO
Business & Marketing,ms office: outlook,0,3,-3,NO
Business & Marketing,advanced presentation,0,3,-3,NO
Business & Marketing,create circuits with multisim cad software,0,3,-3,NO
Business & Marketing,spc++,0,3,-3,NO
Business & Marketing,analysis of algorithms,0,3,-3,NO
Business & Marketing,adc,0,3,-3,NO
Business & Marketing,sc,0,3,-3,NO
Business & Marketing,dynamic ax,0,3,-3,NO
Business & Marketing,visual studio 2008-2010,0,3,-3,NO
Business & Marketing,image scanner asset manager -10-key,0,3,-3,NO
Business & Marketing,fasb & gaap standards,0,3,-3,NO
Business & Marketing,naval,0,3,-3,NO
Business & Marketing,business consulting,0,3,-3,NO
Business & Marketing,fetch,0,3,-3,NO
Business & Marketing,company platforms: eagle,0,3,-3,NO
Business & Marketing,microsoft accounting office,0,3,-3,NO
Business & Marketing,computer proficient,0,3,-3,NO
Business & Marketing,interpersonal and communication,0,3,-3,NO
Business & Marketing,quick on my feet & with my hands,0,3,-3,NO
Business & Marketing,professor,0,3,-3,NO
Business & Marketing,fas asset accounting,0,3,-3,NO
Business & Marketing,competency in procedure development,0,3,-3,NO
Business & Marketing,troubleshooting i,0,3,-3,NO
Business & Marketing,developed reconciliation format,0,3,-3,NO
Business & Marketing,power supply,0,3,-3,NO
Business & Marketing,performed debit,0,3,-3,NO
Business & Marketing,vast technical knowledge,0,3,-3,NO
Business & Marketing,diagnostic software utilities,0,3,-3,NO
Business & Marketing,client-focused,0,3,-3,NO
Business & Marketing,cli knowledge,0,3,-3,NO
Business & Marketing,received,0,3,-3,NO
Business & Marketing,tools of operations research,0,3,-3,NO
Business & Marketing,superb communication skills,0,3,-3,NO
Business & Marketing,operating systems: xp windows professional / windows 7/ windows 8,0,3,-3,NO
Business & Marketing,network systems,0,3,-3,NO
Business & Marketing,advanced anatomy knowledge,0,3,-3,NO
Business & Marketing,test scripts,0,3,-3,NO
Business & Marketing,pc repair,0,3,-3,NO
Business & Marketing,microsoft virtual pc/hyper-v,0,3,-3,NO
Business & Marketing,proficient in avg,0,3,-3,NO
Business & Marketing,revenue recognition,0,3,-3,NO
Business & Marketing,calculus,0,3,-3,NO
Business & Marketing,cash-flow,0,3,-3,NO
Business & Marketing,parameter tuning,0,3,-3,NO
Business & Marketing,needs analysis,0,3,-3,NO
Business & Marketing,vmware workstation,0,3,-3,NO
Business & Marketing,critical thinker,0,3,-3,NO
Business & Marketing,hboc,0,3,-3,NO
Business & Marketing,estimate,0,3,-3,NO
Business & Marketing,osx,0,3,-3,NO
Business & Marketing,complex problem solver,0,3,-3,NO
Business & Marketing,pc security systems,0,3,-3,NO
Business & Marketing,pluming,0,3,-3,NO
Business & Marketing,firefox,0,3,-3,NO
Business & Marketing,adobe indesign,0,3,-3,NO
Business & Marketing,supervision and training,0,3,-3,NO
Business & Marketing,facet,0,3,-3,NO
Business & Marketing,customer services,0,3,-3,NO
Business & Marketing,business systems analysis,0,3,-3,NO
Business & Marketing,generally accepted accounting principles,0,3,-3,NO
Business & Marketing,producer,0,3,-3,NO
Business & Marketing,budget planning,0,3,-3,NO
Business & Marketing,aramark service trained on ge 9600,0,3,-3,NO
Business & Marketing,embedded linux,0,3,-3,NO
Business & Marketing,excellent verbal and written communication skills,0,3,-3,NO
Business & Marketing,memtest86,0,3,-3,NO
Business & Marketing,project analysis,0,3,-3,NO
Business & Marketing,8d,0,3,-3,NO
Business & Marketing,full life cycle,0,3,-3,NO
Business & Marketing,marketing plans,0,3,-3,NO
Business & Marketing,erp (enterprise resource planning) software,0,3,-3,NO
Business & Marketing,management skills,0,3,-3,NO
Business & Marketing,shielded pair and coaxial,0,3,-3,NO
Business & Marketing,mathematical modelling,0,3,-3,NO
Business & Marketing,mckesson,0,3,-3,NO
Business & Marketing,skilled in the operation of networks,0,3,-3,NO
Business & Marketing,market basket analysis,0,3,-3,NO
Business & Marketing,python developer,0,3,-3,NO
Business & Marketing,data exploration,0,3,-3,NO
Business & Marketing,business plan,0,3,-3,NO
Business & Marketing,tensorflow keras,0,3,-3,NO
Business & Marketing,project management methodologies: agile,0,3,-3,NO
Business & Marketing,internet,0,3,-3,NO
Business & Marketing,well organized,0,3,-3,NO
Business & Marketing,hands on training: electrical,0,3,-3,NO
Business & Marketing,risk assessment & tracking,0,3,-3,NO
Business & Marketing,filling,0,3,-3,NO
Business & Marketing,logic analyzer,0,3,-3,NO
Business & Marketing,wiring/wire spicing: cat3,0,3,-3,NO
Business & Marketing,tax accounting,0,3,-3,NO
Business & Marketing,qa/qm,0,3,-3,NO
Business & Marketing,emv tags,0,3,-3,NO
Business & Marketing,sparkocr,0,3,-3,NO
Business & Marketing,graphic design,0,3,-3,NO
Business & Marketing,presales,0,3,-3,NO
Business & Marketing,systems integration,0,3,-3,NO
Business & Marketing,aderant/cms,0,3,-3,NO
Business & Marketing,compliance management,0,3,-3,NO
Business & Marketing,project management & execution,0,3,-3,NO
Business & Marketing,home office,0,3,-3,NO
Business & Marketing,order management,0,3,-3,NO
Business & Marketing,project coordinator,0,3,-3,NO
Business & Marketing,community outreach,0,3,-3,NO
Business & Marketing,comprehensive large array data stewardship system,0,3,-3,NO
